CompanyID,MonitorStatus
1,Enabled
2,Disabled
3,Enabled
4,Enabled
5,Disabled
6,Disabled
7,Enabled
8,Enabled
9,Enabled
10,Disabled
11,Enabled
12,Enabled
13,Enabled
14,Disabled
15,Disabled
16,Enabled
17,Enabled
18,Disabled
19,Enabled
20,Disabled
21,Disabled
22,Enabled
23,Disabled
24,Disabled
25,Enabled
26,Enabled
27,Disabled
28,Enabled
29,Disabled
30,Enabled
31,Disabled
32,Enabled
33,Enabled
34,Enabled
35,Enabled
36,Disabled
37,Disabled
38,Disabled
39,Enabled
40,Enabled
41,Enabled
42,Disabled
43,Disabled
44,Disabled
45,Disabled
46,Disabled
47,Disabled
48,Disabled
49,Disabled
50,Disabled
51,Disabled
52,Disabled
53,Disabled
54,Disabled
55,Disabled
56,Disabled
57,Disabled
58,Disabled
59,Disabled
60,Disabled
61,Disabled
62,Disabled
63,Disabled
64,Disabled
65,Disabled
66,Disabled
67,Enabled
68,Enabled
69,Enabled
70,Enabled
71,Enabled
72,Enabled
73,Enabled
74,Enabled
75,Enabled
76,Enabled
77,Enabled
78,Enabled
79,Enabled
80,Enabled
81,Enabled
82,Enabled
83,Enabled
84,Enabled
85,Enabled
86,Enabled
87,Enabled
88,Enabled
89,Enabled
90,Enabled
91,Enabled
92,Enabled